"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status"
"TobcoUseStrtAgeVal","Tobacco use started age value","Common Data Element","1.0","Age in years when participant/subject started using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)","Age in years when participant/subject started using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)","Numeric Values","","Free-Form Entry","0","120","","","","Year","GENERAL:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
FA:
Skip if ""Tobacco use current indicator"" and ""Tobacco use past indicator"" are both ""NO""  History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
STROKE:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.  The age in years should be collected or N/A (Not applicable if subject never smoked) should be selected.
-----
MS:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.","","Age started tobacco use","","FA:
No references available
-----
GENERAL:
No references available
-----
MS:
No references available
-----
STROKE:
No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Tobacco use started age value","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"TobcoUseCurntInd","Tobacco current use indicator","Common Data Element","1.4","Indicator for whether the participant/subject regularly uses tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe) at the present time.","Indicator for whether the participant/subject regularly uses tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe) at the present time.","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Unknown;Yes","No;Unknown;Yes","0;9;1","","FA/GENERAL/MS/TBI: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record. Add date stamp for when assessed. Recommend collection at least on date of TBI.
STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record.

",""," Is the family member of the participant/subject currently using  tobacco?","Medical_History","MS/TBI: Corrigan JD, Bogner J, Holloman C. Lifetime history of traumatic brain injury among persons with substance use disorders. Brain Inj. 2012;26(2):139-50.","Adult and Pediatric","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","Supplemental","Supplemental","Supplemental","Supplemental","","Core","Core","","","Supplemental","","","","","","","","","Tobacco current use indicator","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","2014-04-01","2016-06-15","Published"
"TobcoUseStopAgeVal","Tobacco use stopped age value","Common Data Element","1.0","Age in years when participant/subject  stopped using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)","Age in years when participant/subject  stopped using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)","Numeric Values","","Free-Form Entry","0","120","","","","Year","GENERAL:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
FA:
Skip if ""Tobacco use current indicator"" and ""Tobacco use past indicator"" are both ""NO""  History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
STROKE:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.  The age in years should be collected or N/A (Not applicable if subject never smoked) should be selected.
-----
MS:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.  The age in years should be collected or N/A (Not applicable if subject never smoked) should be selected.","","Age stopped tobacco use","","FA:
No references available
-----
GENERAL:
No references available
-----
MS:
No references available
-----
STROKE:
No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Tobacco use stopped age value","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"TobcoProdctUsedTypPDBP","Tobacco product used type","Unique Data Element","1.0","Type of tobacco product (e.g. cigarettes, cigars, chewing tobacco or pipe) used by the participant/subject","Type of tobacco product (e.g. cigarettes, cigars, chewing tobacco or pipe) used by the participant/subject","Alphanumeric","255","Free-Form Entry","","","Chewing tobacco;Cigars;Filtered cigarettes;Low tar cigarettes;Non-filtered cigarettes;Other, specify;Pipes","Chewing tobacco;Cigars;Filtered cigarettes;Low tar cigarettes;Non-filtered cigarettes;Other, specify;Pipes",";;;;;;","","Choose all that apply. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
","",,"","","Adult and Pediatric","","","Participant/Subject History and Family History.Epidemiology/Environmental History","","","","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-09","2014-04-09","Published"
"TobcoCigaretSmokedDlyAvgNum","Tobacco cigarettes smoked daily average number","Common Data Element","1.0","Average number of cigarettes the participant/subject smokes daily (On the days you smoked cigarettes during the past 30 days, how many cigarettes did you smoke per day, on average?)","Average number of cigarettes the participant/subject smokes daily (On the days you smoked cigarettes during the past 30 days, how many cigarettes did you smoke per day, on average?)","Alphanumeric","","Single Pre-Defined Value Selected","","","16 to 25 cigarettes per day (about 1 pack);1 cigarette per day;26 to 35 cigarettes per day (about 1 1/2 packs);2 to 5 cigarettes per day;6 to 15 cigarettes per day (about 1/2 pack);Less than one cigarette per day;More than 35 cigarettes per day (about 2 packs or more);Unknown","16 to 25 cigarettes per day (about 1 pack);1 cigarette per day;26 to 35 cigarettes per day (about 1 1/2 packs);2 to 5 cigarettes per day;6 to 15 cigarettes per day (about 1/2 pack);Less than one cigarette per day;More than 35 cigarettes per day (about 2 packs or more);Unknown","6;2;5;3;4;1;7;999","","GENERAL:
Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
SCI:
Only answer if former or current smoker.  If average number of cigarettes is unknown then code 999 (999 = Unknown).
-----
FA:
Skip if cigarettes is NOT an answer to ""Tobacco Product Used Type.""   Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
STROKE:
History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
-----
MS:
Record average number of cigarettes currently smoked a day. Only answer if former or current smoker.   Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.","SCI Variable: NOCIGRTS","Average number of cigarettes smoked per day","","FA:
PhenX Toolkit: https://www.phenxtoolkit.org/index.php -  Protocol 1: Tobacco - 30-Day Quantity and Frequency (Adolescent Protocol) #030801
-----
GENERAL:
PhenX Toolkit: https://www.phenxtoolkit.org/index.php -  Protocol 1: Tobacco - 30-Day Quantity and Frequency (Adolescent Protocol) #030801
-----
MS:
PhenX Toolkit: https://www.phenxtoolkit.org/index.php -  Protocol 1: Tobacco - 30-Day Quantity and Frequency (Adolescent Protocol) #030801 For SCI: Biering-Sï¿½rensen F, Krassioukov A, Alexander MS, Donovan W, Karlsson AK, Mueller G, Perkash I, William Sheel A, Wecht J, Schilero GJ.International Spinal Cord Injury Pulmonary Function Basic Data Set. Spinal Cord. 2012 Jun; 50(6):418-21.
-----
SCI:
Biering-Sï¿½rensen F, Krassioukov A, Alexander MS, Donovan W, Karlsson AK, Mueller G, Perkash I, William Sheel A, Wecht J, Schilero GJ.International Spinal Cord Injury Pulmonary Function Basic Data Set. Spinal Cord. 2012 Jun; 50(6):418-21.
-----
STROKE:
PhenX Toolkit: https://www.phenxtoolkit.org/index.php - Protocol 1: Tobacco - 30-Day Quantity and Frequency (Adolescent Protocol) #030801","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","N/A.N/A","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","Supplemental","","","Tobacco cigarettes smoked daily average count","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"EverUsedAlcoholInd","Alcohol usage ever indicator","Unique Data Element","1.0","Indicator of whether subject has ever used alcohol","Indicator of whether subject has ever used alcohol","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Unknown;Yes","No;Unknown;Yes","0;9;1","","","",,"","","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"AlcRcntUseIndPDBP","Alcohol recent use indicator","Unique Data Element","1.0","Indicator of whether the participant/subject consumed at least one alcoholic drink within the past 12 months","Participant (subject) alcohol consumption past 12 months","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Unknown;Yes","No;Unknown;Yes","0;9;1","","Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.","",,"","","Adult and Pediatric","","","Participant/Subject History and Family History.Epidemiology/Environmental History","","","","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-09","2014-04-09","Published"
"AlcPriorUseInd","Alcohol prior use indicator","Common Data Element","1.4","Indicator of the participant's/subject's alcohol consumption prior to the past 12 months","Indicator of the participant's/subject's alcohol consumption prior to the past 12 months","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Unknown;Yes","No;Unknown;Yes","0;9;1","","GENERAL: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
TBI: Choose one. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.
FA: Consumed at least one drink prior to the past year. Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
MS: Choose one. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior. For MS: If ""No"" is answered, skip to Drug section","","Is the family member of the participant/subject a past drinker?","Medical_History","No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","Supplemental","Supplemental","Supplemental","Supplemental","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Alcohol prior use indicator","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","2016-06-15","Published"
"AlcUseStrtAgeVal","Alcohol use started age value","Common Data Element","1.4","Age in years when participant/subject started ingesting alcoholic beverages, including social drinking","Age in years when participant/subject started ingesting alcoholic beverages, including social drinking","Numeric Values","","Free-Form Entry","0","120","","","","Year","GENERAL/MS: History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
FA: Skip if ""Alcohol current use indicator"" and ""Alcohol prior use indicator"" are both ""NO"". History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record. The age in years should be collected or N/A (Not applicable if subject never smoked) should be selected.","","Age started drinking","Medical_History","No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Alcohol use started age value","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","2016-06-15","Published"
"AlcCurntUseInd","Alcohol current use indicator","Common Data Element","1.5","Indicator of whether the participant/subject consumed at least one alcoholic drink within the past 12 months","Indicator of whether the participant/subject consumed at least one alcoholic drink within the past 12 months","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Unknown;Yes","No;Unknown;Yes","0;9;1","","GENERAL: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
FA: Consumed at least one drink within past year. Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record. In the U.S., a single drink serving contains about 14 grams of ethanol or ""pure"" alcohol. Although the drinks below are different sizes, each one contains the same amount of pure alcohol and counts as a single drink: 12 oz. of beer (about %% alcohol) = 8-9 oz. of malt liquor (about 7% alcohol) = 5 oz. of wine (about 12% alcohol) = 1.5 oz. of hard liquor (about 40% alcohol)
MS: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record. Unknown includes the scenario where information is not documented in the medical record. A current drinker is defined as consuming at least one drink within the past year. For MS: If ""Yes"" is answered, skip to question 3 History can be obtained from participant/ subject, family member, friend, or chart/ medical record. In the U.S., a single drink serving contains about 14 grams of ethanol or ""pure"" alcohol. Although the drinks below are different sizes, each one contains the same amount of pure alcohol and counts as a single drink: 12 oz. of beer (about %% alcohol) = 8-9 oz. of malt liquor (about 7% alcohol) = 5 oz. of wine (about 12% alcohol) = 1.5 oz. of hard liquor (about 40% alcohol)","","Is the family member of the participant/subject a current drinker","Medical_History","No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Alcohol current use indicator","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","2016-06-15","Published"
"AlcUseStopAgeVal","Alcohol use stopped age value","Common Data Element","1.4","Age in years when participant/subject stopped ingesting alcoholic beverages, including social drinking","Age in years when participant/subject stopped ingesting alcoholic beverages, including social drinking","Numeric Values","","Free-Form Entry","0","120","","","","Year","GENERAL: History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
FA: Skip if ""Alcohol current use indicator"" and ""Alcohol prior use indicator"" are both ""NO"". Can be obtained from participant/ subject, family member, friend, or chart/ medical record.
MS/STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record. The age in years should be collected or N/A (Not applicable if subject never smoked) should be selected.","","Age quit drinking","Medical_History","No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Supplemental","Supplemental","","","Supplemental","","","","","","","","","Alcohol use stopped age value","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","2016-06-15","Published"
"AlcUseFreq","Alcohol use frequency","Common Data Element","1.2","The frequency of consumption of alcohol by the participant.","The frequency of consumption of alcohol by the participant.","Alphanumeric","","Single Pre-Defined Value Selected","","","2 to 3 times a week;2 to 4 times a month;4 or more times a week;Monthly or less;Never;Unknown","2 to 3 times a week;2 to 4 times a month;4 or more times a week;Monthly or less;Never;Unknown","1;2;3;4;0;999","","GENERAL: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
FA: Choose one. Response is obtained from participant/ subject, family member, friend, or chart/ medical record.
STROKE: History can be obtained from participant/ subject, family member, friend, or chart/ medical record.
MS: Choose one. If ""Never"" is answered, skip to ""Have you ever been hospitalized for an alcohol related problem"". In some cases, response is obtained from participant/ subject, family member, friend, or chart/ medical record. Unknown includes the scenario where information is not documented in the medical record.","","How often do you have a drink containing alcohol?","","No references available","Adult and Pediatric","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","","","Participant/Subject History and Family History.General Health History","","","","","","","","","Supplemental","","","","","","Core","Core","","","Supplemental","","","","","","","","","Alcohol use frequency","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","2015-09-24","Published"
