"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status"
"HDRSErlyNgtInsmnInd","Hamilton Depression Rating Scale (HDRS) - Early night insomnia  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's difficulty, if any, with early-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's difficulty, if any, with early-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","No difficulty falling asleep;Complains of occasional difficulty falling asleep, i.e. more than 1/2 hour;Complains of nightly difficulty falling asleep","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 17 Q4","Insomnia: early in the night","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q4","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSMddlNgtInsmnInd","Hamilton Depression Rating Scale (HDRS) - Middle night insomnia  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's difficulty, if any, with middle-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's difficulty, if any, with middle-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","No difficulty;Complains of being restless and disturbed during the night;Waking during the night - any getting out of bed rates 2 (except for purposes of voiding)","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 17 Q5","Insomnia: middle of the night","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q5","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSErlyMornInsmnInd","Hamilton Depression Rating Scale (HDRS) - Early morning insomnia  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's difficulty, if any, with insomnia in the early morning hours, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's difficulty, if any, with insomnia in the early morning hours, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","No difficulty;Waking in early hours of the morning but goes back to sleep;Unable to fall asleep again if he/she gets out of bed","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 17 Q6","Insomnia: early hours of the morning","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q6","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSWrkActDifcltInd","Hamilton Depression Rating Scale (HDRS) - Work activities difficulty  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's difficulty, if any, with work and activities, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's difficulty, if any, with work and activities, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","No difficulty;Thoughts and feelings of incapacity, fatigue or weakness related to activities, work or hobbies;Loss of interest in activity, hobbies, or work - either directly reported by the patient or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities);Decrease in actual time spent in activities or decrease in productivity. Rate 3 if the patient does not spend at least three hours a day in activities (job or hobbies) excluding routine chores;Stopped working because of present illness. Rate 4 if patient engages in no activities except routine chores, or if patient fails to perform routine chores unassisted.","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 6 Q4, HDRS 7 Q4, HDRS 8 Q4, HDRS 17 Q7","Work and activities","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q7","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSRetrdtnInd","Hamilton Depression Rating Scale (HDRS) - Retardation  severity scale","Common Data Element","1.2","Severity scale  for any retardation in the participant/subject's mental or physical behavior, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for any retardation in the participant/subject's mental or physical behavior, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal speech and thought;Slight retardation during the interview;Obvious retardation during the interview;Interview difficult;Complete stupor","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 6 Q5, HDRS Maier Q6,  Q5HDRS 17 Q8","Retardation (slowness of thought and speech, impaired ability to concentrate, decreased motor activity)","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q8","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSAgttnInd","Hamilton Depression Rating Scale (HDRS) - Agitation  severity scale","Common Data Element","1.2","Severity scale  for the extent of agitated behaviors the participant/subject displays, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the extent of agitated behaviors the participant/subject displays, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None;Fidgetiness;Playing with hands, hair, etc;Moving about, can't sit still;Hand wringing, nail biting, hair-pulling, biting of lips","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 6 Maier Q6, HDRS 8 Q6, HDRS 17 Q9","Agitation","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q9","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSAnxPsycDifcltInd","Hamilton Depression Rating Scale (HDRS) - Anxiety psychic difficulty  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's degree of psychic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's degree of psychic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","No difficulty;Subjective tension and irritability;Worrying about minor matters;Apprehensive attitude apparent in face or speech;Fears expressed without questioning","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 6 Q5, HDRS 7 Q5, HDRS 8 Q7, HDRS 6 Maier Q6, HDRS 17 Q10","Anxiety psychic","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q10","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSAnxSomtcInd","Hamilton Depression Rating Scale (HDRS) - Anxiety somatic  severity scale","Common Data Element","1.2","Severity scale  for the participant/subject's grade of symptoms of somatic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the participant/subject's grade of symptoms of somatic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Absent;Mild;Moderate;Severe;Incapacitating","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS6 Q6, HDRS 8 Q7, HDRS 17 Q11","Anxiety somatic (physiological concomitants of anxiety) such as: gastro-intestinal - dry mouth, wind, indigestion, diarrhea, cramps, belching; cardio-vascular - palpitations, headaches; respiratory - hyperventilation, sighing; urinary frequency; sweating","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q11","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSSomtcSymptmInd","Hamilton Depression Rating Scale (HDRS) - Somatic symptoms  severity scale","Common Data Element","1.2","Severity scale  for the intensity of the participant/subject's somatic gastrointestinal symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the intensity of the participant/subject's somatic gastrointestinal symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","None;Loss of appetite but eating without staff encouragement. Heavy feelings in abdomen;Difficulty eating without staff urging. Requests or requires laxatives or medication for bowels or medication for gastro-intestinal symptoms","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 17 Q12","Somatic symptoms gastro-intestinal","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q12","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSGenrlSomtcSymptmInd","Hamilton Depression Rating Scale (HDRS) - General somatic symptoms  severity scale","Common Data Element","1.2","Severity scale  for the intensity of the participant/subject's general somatic symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the intensity of the participant/subject's general somatic symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","None;Heaviness in limbs, back, or head. Backaches, headaches, muscle aches. Loss of energy and fatigability;Any clear-cut symptom rates 2","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 6 Q6, HDRS 7 Q7, HDRS 17 Q13","General somatic symptoms","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q13","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSGentlSymptmInd","Hamilton Depression Rating Scale (HDRS) - Genital symptoms  severity scale","Common Data Element","1.2","Severity scale  for the intensity of the participant/subject's genital symptoms such as loss of libido or menstrual disturbances, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the intensity of the participant/subject's genital symptoms such as loss of libido or menstrual disturbances, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2","Absent;Mild;Severe","0;1;2","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 8 Q8, HDRS 17 Q14","Genital symptoms(symptoms such as loss of libido, menstrual disturbances)","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q14","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
"HDRSHypchdssInd","Hamilton Depression Rating Scale (HDRS) - Hypochondriasis  severity scale","Common Data Element","1.2","Severity scale  for the intensity of the participant/subject's hypochondriasis, as part of the Hamilton Depression Rating Scale (HDRS)","Severity scale  for the intensity of the participant/subject's hypochondriasis, as part of the Hamilton Depression Rating Scale (HDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Not present;Self-absorption (bodily);Preoccupation with health;Frequent complaints, requests for help, etc;Hypochondriacal delusions","0;1;2;3;4","","For each item select the one cue which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).","HDRS 17 Q15","Hypochondriasis","","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.","Adult","Outcomes and End Points.Emotional and Cognitive Status","","","","","Outcomes and End Points.Cognitive","","","","","","","","","","","Exploratory","","","","","","","","Exploratory","","","","","","","","","","","HDRS Q15","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","","","NIH/NINDS","NINDSCDE","NINDSCDE@EMMES.COM","2014-04-01","2016-08-24","Published"
