variable name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status
MOCA_Letters,Montreal Cognitive Assessment (MOCA) - read list of letters score value,Unique Data Element,1.1,Attention test - Read list of letters test points earned,Attention test - Read list of letters test,Numeric Values,,Single Pre-Defined Value Selected,,,0;1,0;1,0;1,,See instructions on the form,,MOCA Read List of Letters,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_Serial7,Montreal Cognitive Assessment (MOCA) - serial 7 subtractions score value,Unique Data Element,1.1,Attention test - Serial 7 subtractions test points earned,Attention test - Serial 7 subtractions test,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2;3,0;1;2;3,0;1;2;3,,See instructions on the form,,MOCA Serial 7 Subtractions,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_LangRepeat,Montreal Cognitive Assessment (MOCA) - serial language repeat score value,Unique Data Element,1.1,Attention test -  Serial  7 language repeat test points earned,Attention test -  Serial  7 language repeat test,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2,0;1;2,0;1;2,,See instructions on the form,,MOCA Serial  Language Repeat,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_LangFluency,Montreal Cognitive Assessment (MOCA) - serial  language fluency score value,Unique Data Element,1.1,Language test - Serial  language fluency points earned,Language test - Serial  language fluency,Numeric Values,,Single Pre-Defined Value Selected,,,0;1,0;1,0;1,,See instructions on the form,,MOCA Serial  Language Fluency Points,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_Abstraction,Montreal Cognitive Assessment (MOCA) - serial  language abstraction score value,Unique Data Element,1.1,Language test -  Serial  language abstraction points earned,Language test -  Serial  language abstraction,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2,0;1;2,0;1;2,,See instructions on the form,,MOCA Serial  Language Abstraction Points,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_DelydRecall,Montreal Cognitive Assessment (MOCA) - delayed recall score value,Unique Data Element,1.1,Delayed recall test - with no cue points earned,Delayed recall test - no cue,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2;3;4;5,0;1;2;3;4;5,0;1;2;3;4;5,,See instructions on the form,,MOCA Delayed Recall Points,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_DelydRecallOptnlCatCue,Montreal Cognitive Assessment (MOCA) - delayed recall optional category cue score value,Unique Data Element,1.1,Delayed recall test optional with category cue points earned,Delayed recall test optional - category cue,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2;3;4;5,0;1;2;3;4;5,0;1;2;3;4;5,,See instructions on the form,,MOCA Delayed Recall Optional Points,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_DelydRecalOptnlMultChoice,Montreal Cognitive Assessment (MOCA) - delayed recall optional multiple choice cue score value,Unique Data Element,1.1,Delayed recall test optional with multiple choice cue points earned,Delayed recall test optional - multiple choice cue,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2;3;4;5,0;1;2;3;4;5,0;1;2;3;4;5,,See instructions on the form,,,,,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_Orient,Montreal Cognitive Assessment (MOCA) - orientation score value,Unique Data Element,1.1,Orientation test points earned,Orientation test,Numeric Values,,Single Pre-Defined Value Selected,,,0;1;2;3;4;5;6,0;1;2;3;4;5;6,0;1;2;3;4;5;6,,See instructions on the form,,MOCA Orientation Points,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_ImageResponse,Montreal Cognitive Assessment (MoCA) - image response file,Unique Data Element,1.2,"MoCA image response, usually uploaded as a scanned image.",MoCA image response file,File,,Free-Form Entry,,,,,,,,,,,,Adult and Pediatric,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,8/4/16,Published
MOCA_EduInd,Montreal Cognitive Assessment (MOCA) - education indicator,Unique Data Element,1.1,Indicator of whether subject has completed 12 years of education.,Indicator of whether subject has completed 12 years of education.,Numeric Values,,Single Pre-Defined Value Selected,,,0;1,Subject has less than or equal to 12 years of education;Subject has greater than 12 years of education,0;1,,See instructions on the form,,,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
MOCA_Total,Montreal Cognitive Assessment (MOCA) - total score value,Unique Data Element,1.1,Total points earned Montreal Cognicitve Assessment (MOCA),Total score MOCA,Numeric Values,,Free-Form Entry,0,31,,,,,See instructions on the form,,MOCA Total,,www.mocatest.org,Adult,Assessments and Examinations.Physical/Neurological Examination,,Assessments and Examinations.Other Clinical Data,,,,,,,,,,,,,,Supplemental,,,,,Supplemental,,,,,,,,,,,,,,,,,NIH/CIT/BRICS,David Grolling,,,,NIH/CIT/BRICS,Olga Vovk,olga.vovk@nih.gov,4/1/14,4/14/16,Published
