"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status"
"AgeDiagnosRemaindrMonths","Neurological examination age at diagnosis remainder in months","Unique Data Element","1.0","Remainder value for participant's subject age when age in years (see Age at diagnosis in years) is recorded","Remainder value for participant's subject age when age in years (see Age in years) is recorded","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;10;11;2;3;4;5;6;7;8;9","0;1;10;11;2;3;4;5;6;7;8;9","0;1;10;11;2;3;4;5;6;7;8;9","","Use in conjunction with Age of diagnosis in years","No references available","Plus months","","","Adult and Pediatric","Participant/Subject Characteristics.Demographics","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"NeuroExamFind","Neurological examination findings","Unique Data Element","1.0","Neurological examination findings","Neurological examination findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","3) Neurological examination findings","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"NeuroExamAbnrmlFindDocumntd","Abnormal neurological examination findings documented in another form indicator","Unique Data Element","1.0","Whether abnormal Neurological examination findings were  documented in another form e.g., MDS-UPDRS, MoCA, Hamilton","Abnormal neurological examination findings documented in another form indicator","Alphanumeric","","Single Pre-Defined Value Selected","","","No;Yes","No;Yes","0;1","","Select one.","PDBD Neurolocial Examination Form","3a) If abnormal, is abnormality documented in another form, e.g., MDS-UPDRS, MoCA, Hamilton?","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MentlStatExamFind","Mental status examination findings","Unique Data Element","1.0","Neurological examination mental status findings","Mental status examination","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","4) Mental status examination","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MentlStatExamCogAbnrmlyTxt","Mental status examination cognitive abnormality text","Unique Data Element","1.0","Text description of cognitive abnormality","Text description of cognitive abnormality","Alphanumeric","4000","Free-Form Entry","","","","","","","If no abnormalities, write ""None.""","PDBD Neurolocial Examination Form","4a) Describe cognitive abnormality, e.g., dyspraxia, neglect, perseveration, etc. If none, write &quot;None.&quot;","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MentlStatExamMoodAbnrmlyTxt","Mental status examination mood or affect abnormality text","Unique Data Element","1.0","Text description of mood or affect abnormality","Text description of mood or affect abnormality","Alphanumeric","4000","Free-Form Entry","","","","","","","If no abnormalities, write ""None.""","PDBD Neurolocial Examination Form","4b) Describe other mood or affect abnormality, e.g., pseudobulbar affect, irritability, elation, etc. If none, write &quot;None.&quot;","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervExamFind","Cranial nerves II-XII examination findings","Unique Data Element","1.0","Cranial nerves II-XII examination findings","Cranial nerves II-XII examination findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5) Cranial nerves II-XII examination","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervVisualAcuityFind","Cranial nerves II-XII visual acuity (corrected) findings","Unique Data Element","1.0","Cranial nerves II-XII visual acuity (corrected) findings.","Cranial nerves II-XII visual acuity (corrected) findings.","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5a) Visual acuity (corrected)","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervVisualAcuityAbnrmly","Cranial nerves II-XII visual acuity abnormality findings","Unique Data Element","1.0","Cranial nerves II-XII visual acuity abnormality descriptor findings","Cranial nerves II-XII visual acuity abnormality descriptor","Alphanumeric","4000","Free-Form Entry","","","Able to read text;Detects light only;Detects movement only;Vision impaired on left;Vision impaired on right","Able to read text;Detects light only;Detects movement only;Vision impaired on left;Vision impaired on right",";;;;","","Select all that apply","PDBD Neurolocial Examination Form","5a-i) If abnormal, check all that apply","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervPapilledemaFind","Cranial nerves II-XII Papilledema  findings","Unique Data Element","1.0","Cranial nerves II-XII Papilledema findings","Cranial nerves II-XII Papilledema findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;20;222;5","","Select one.","PDBD Neurolocial Examination Form","5b) Papilledema","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervDiscPallorFind","Cranial nerves II-XII disc pallor findings","Unique Data Element","1.0","Cranial nerves II-XII disc pallor findings","Cranial nerves II-XII disc pallor findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;20;222;5","","Select one.","PDBD Neurolocial Examination Form","5c) Disc pallor","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervPupilsFind","Cranial nerves II-XII pupils findings","Unique Data Element","1.0","Cranial nerves II-XII pupils findings","Cranial nerves II-XII pupils findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5d) Pupils","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervPupilsAbnrmlyFind","Cranial nerves II-XII pupils abnormality findings","Unique Data Element","1.0","Cranial nerves II-XII pupils abnormality findings","Cranial nerves II-XII pupils abnormality findings","Alphanumeric","4000","Free-Form Entry","","","Left at rest;Left to accomodation;Left to light;Right at rest;Right to accomodation;Right to light","Left at rest;Left to accomodation;Left to light;Right at rest;Right to accomodation;Right to light",";;;;;","","Select all that apply.","PDBD Neurolocial Examination Form","5d-i) If abnormal, check all abnormalities found","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervPtosisLocFind","Cranial nerves II-XII Ptosis findings","Unique Data Element","1.0","Cranial nerves II-XII Ptosis findings","Cranial nerves II-XII Ptosis findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;20;222;5","","Select one.","PDBD Neurolocial Examination Form","5e) Ptosis","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervVisualFieldsFind","Cranial nerves II-XII visual fields findings","Unique Data Element","1.0","Cranial nerve II-XII visual fields findings","Cranial nerve II-XII visual fields findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5f) Visual fields","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervHemianopiaLoc","Cranial nerves II-XII hemianopia location(s)","Unique Data Element","1.0","Cranial nerves II-XII area(s) of hemianopia locations(s)","Cranial nerves II-XII area(s) of hemianopia locations(s)","Alphanumeric","4000","Free-Form Entry","","","Left Inferior;Left Lateral;Left Medial;Left Superior;Not applicable;Right Inferior;Right Lateral;Right Medial;Right Superior","Left Inferior;Left Lateral;Left Medial;Left Superior;Not applicable;Right Inferior;Right Lateral;Right Medial;Right Superior",";;;;;;;;","","Select all that apply.","PDBD Neurolocial Examination Form","5f-i) Note area(s) of hemianopia","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervQuadrantanopiaLoc","Cranial nerves II-XII quadrantanopia location(s)","Unique Data Element","1.0","Cranial nerves II-XII area(s) of quadrantanopia","Cranial nerves II-XII area(s) of quadrantanopia","Alphanumeric","4000","Free-Form Entry","","","Left Inferior;Left Lateral;Left Medial;Left Superior;Not applicable;Right Inferior;Right Lateral;Right Medial;Right Superior","Left Inferior;Left Lateral;Left Medial;Left Superior;Not applicable;Right Inferior;Right Lateral;Right Medial;Right Superior",";;;;;;;;","","Select all that apply.","PDBD Neurolocial Examination Form","5f-ii) Note area(s) of  quadrantanopia","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervCentralScotomaLoc","Cranial nerves II-XII central scotoma location(s)","Unique Data Element","1.0","Cranial nerves II-XII area(s) of central scotoma","Cranial nerves II-XII area(s) of central scotoma","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Not Applicable;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;777;222;5","","Select one.","PDBD Neurolocial Examination Form","5f-iii) Central scotoma","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntFind","Cranial nerves II-XII eye movements findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements findings","Cranial nerves II-XII eye movements findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5g) Eye movements","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntLatFind","Cranial nerves II-XII eye movements lateral findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements lateral findings","Cranial nerves II-XII eye movements lateral findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","6;4;20;222;1;5","","Select one.","PDBD Neurolocial Examination Form","5g-i) Lateral","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntMedialFind","Cranial nerves II-XII eye movements medial findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements medial findings","Cranial nerves II-XII eye movements medial findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","6;4;20;222;1;5","","Select one.","PDBD Neurolocial Examination Form","5g-ii) Medial","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntUpFind","Cranial nerves II-XII eye movements up findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements up findings","Cranial nerves II-XII eye movements up findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","6;4;20;222;1;5","","Select one.","PDBD Neurolocial Examination Form","5g-iii) Up","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntDownFind","Cranial nerves II-XII eye movements down findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements down findings","Cranial nerves II-XII eye movements down findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","Bilateral;Left;Normal;Not assessed;Nystagmus;Right","6;4;20;222;1;5","","Select one.","PDBD Neurolocial Examination Form","5g-iv) Down","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntSaccadesFind","Cranial nerves II-XII eye movements saccades findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements saccades findings","Cranial nerves II-XII eye movements saccades findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;20;222;5","","Select one.","PDBD Neurolocial Examination Form","5g-v) Saccades","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervEyeMovmntSmoothPur","Cranial nerves II-XII eye movements smooth pursuit findings","Unique Data Element","1.0","Cranial nerves II-XII eye movements smooth pursuit findings","Cranial nerves II-XII eye movements smooth pursuit findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Bilateral;Left;Normal;Not assessed;Right","Bilateral;Left;Normal;Not assessed;Right","6;4;20;222;5","","Select one.","PDBD Neurolocial Examination Form","5g-vi) Smooth pursuit","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"CranlNervFaclNumbnessFind","Cranial nerves II-XII facial numbness findings","Unique Data Element","1.0","Cranial nerves II-XII facial numbness findings","Cranial nerves II-XII facial numbness findings","Alphanumeric","","Single Pre-Defined Value Selected","","","Abnormal;Normal;Not assessed","Abnormal;Normal;Not assessed","10;20;222","","Select one.","PDBD Neurolocial Examination Form","5h) Facial numbness","","","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","","","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
