"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status"
"MDSUPDRSDrpssMoodScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - depress mood score","Common Data Element","1.0","Score of the participant's/subject's depressed mood considering low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score of the participant's/subject's depressed mood considering low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","0= Normal: No depressed mood;Slight: Episodes of depressed mood that are not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities;Mild: Depressed mood that is sustained over days, but without interference with normal activities and social interactions.;Moderate: Depressed mood that interferes with, but does not preclude, the patient's ability to carry out normal activities and social interactions.;Severe: Depressed mood precludes patient's ability to carry out normal activities and social interactions.","0;1;2;3;4","","PD:
Instructions to examiner: Consider low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment. Determine their presence and duration over the past week and rate their interference with the patient's ability to carry out daily routines and engage in social interactions. Instruction to the patient (and caregiver): Over the past week have you felt low, sad, hopeless or unable to enjoy things? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you carry out your usual activities or to be with people? If yes, examiner asks patient or caregiver to elaborate and probes for information]","MDS UPDRS Q1.3","DEPRESSED MOOD","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.3","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSAnxsMoodScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - anxious mood score","Common Data Element","1.0","Score for the participant's/subject's anxious mood over the past week determining if he or she felt nervous, tense, worried or anxious, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's anxious mood over the past week determining if he or she felt nervous, tense, worried or anxious, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No anxious feelings;Slight: Anxious feelings present but not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities and social interactions;Mild: Anxious feelings are sustained over more than one day at a time, but without interference with patient's ability to carry out normal activities and social interactions;Moderate: Anxious feelings interfere with, but do not preclude, the patient's ability to carry out normal activities and social interactions;Severe: Anxious feelings preclude patient's ability to carry out normal activities and social interactions.","0;1;2;3;4","","PD:
Instructions to examiner: Determine nervous, tense, worried or anxious feelings (including panic attacks) over the past week and rate their duration and interference with the patient's ability to carry out daily routines and engage in social interactions. Instructions to patients [and caregiver]: Over the past week have you felt nervous, worried or tense? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you to follow your usual activities or to be with other people? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]","MDS UPDRS Q1.4","ANXIOUS MOOD","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.4","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSApathyScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - apathy score","Common Data Element","1.0","Score for the participant's/subject's apathy, considering the level of spontaneous activity, assertiveness, motivation and initiative and how it affects the performance of daily routines, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's apathy, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No apathy;Slight: Apathy appreciated by patient and/or caregiver, but no interference with daily activities and social interactions;Mild: Apathy interferes with isolated activities and social interactions;Moderate: Apathy interferes with most activities and social interactions;Severe: Passive and withdrawn, complete loss of initiative.","0;1;2;3;4","","PD:
Instructions to examiner: Consider level of spontaneous activity, assertiveness, motivation and initiative and rate the impact of reduced levels on performance of daily routines and social interactions. Here the examiner should attempt to distinguish between apathy and similar symptoms that are best explained by depression. Instructions to patients (and caregiver): Over the past week, have you felt indifferent to doing activities or being with people? If yes, examiner asks patient or caregiver to elaborate and probes for information.]","MDS UPDRS Q1.5","APATHY","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.5","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSDopmnDysregSyndScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - dopamine dysregulation syndrome score","Common Data Element","1.0","Score for the participant's/subject's features of dopamine dysregulation syndrome considering involvement in a variety of activities including atypical or excessive gambling (e.g. casinos or lottery tickets), atypical or excessive sexual drive or interests (e.g., unusual interest in pornography, masturbation, sexual demands on partner), other repetitive activities (e.g. hobbies, dismantling objects, sorting or organizing), or taking extra non-prescribed medication for non-physical reasons (i.e., addictive behavior), as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS).","Score for the participant's/subject's features of dopamine dysregulation syndrome considering involvement in a variety of activities, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS).","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No problems present;Slight: Problems are present but usually do not cause any difficulties for the patient or family/caregiver;Mild: Problems are present and usually cause a few difficulties in the patient's personal and family life;Moderate: Problems are present and usually cause a lot of difficulties in the patient's personal and family life;Severe: Problems are present and preclude the patient's ability to carry out normal activities or social interactions or to maintain previous standards in personal and family life.","0;1;2;3;4","","PD:
Give patient examples such as gambling, cleaning, using the computer, taking extra medicine, obsessing about food or sex, all depending on the patients.","MDS UPDRS Q1.6","FEATURES OF DOPAMINE DYSREGULATION SYNDROME","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.6","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSQstnnreInfoProvdrTyp","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - questionnaire information provider type","Common Data Element","1.1","The type as related to the provider of the participant's/subject's information, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","The type as related to the provider of the participant's/subject's information, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Alphanumeric","","Single Pre-Defined Value Selected","","","Caregiver;Patient;Patient and Caregiver in Equal Proportion","Caregiver;Patient;Patient and Caregiver in Equal Proportion","1;2;3","","PD:
Refer to instrument for additional instructions","MDS UPDRS Source of patient questionnaire","Who is filling out this questionnaire","","PD:
URL: http://www.movementdisorders.org/","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Source of patient questionnaire","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","","","NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com","2014-04-01","2015-09-24","Published"
"MDSUPDRSSleepProbScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - sleep problem score","Common Data Element","1.0","Score for the participant's/subject's ability to sleep considering how rested he or she felt waking up in the morning, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's ability to sleep considering how rested he or she felt waking up in the morning, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No problems;Slight: Sleep problems are present but usually do not cause trouble getting a full night of sleep;Mild: Sleep problems usually cause some difficulties getting a full night of sleep;Moderate: Sleep problems cause a lot of difficulties getting a full night of sleep, but I still usually sleep for more than half the night;Severe: I usually do not sleep for most of the night.","0;1;2;3;4","","PD:
Consider how rested you felt after waking up in the morning.","MDS UPDRS Q1.7","SLEEP PROBLEMS","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.7","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSDaytmSleepScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - daytime sleepiness score","Common Data Element","1.0","Score for the participant's/subject's daytime sleepiness level , as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's daytime sleepiness level , as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No daytime sleepiness.;Slight: Daytime sleepiness occurs but I can resist and I stay awake;Mild: Sometimes I fall asleep when alone and relaxing. For example, while reading or watching TV;Moderate: I sometimes fall asleep when I should not. For example, while eating or talking with other people;Severe: I often fall asleep when I should not. For example, while eating or talking with other people.","0;1;2;3;4","","PD:
Refer to instrument for additional instructions","MDS UPDRS Q1.8","DAYTIME SLEEPINESS","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.8","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSPainOthrSensScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - pain other sensations score","Common Data Element","1.0","Score for the participant's/subject's level of pain and other sensations, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's level of pain and other sensations, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No uncomfortable feelings.;Slight: I have these feelings. However, I can do things and be with other people without difficulty;Mild: These feelings cause some problems when I do things or am with other people;Moderate: These feelings cause a lot of problems, but they do not stop me from doing things or being with other people;Severe: These feelings stop me from doing things or being with other people.","0;1;2;3;4","","PD:
Refer to instrument for additional instructions","MDS UPDRS Q1.9","PAIN AND OTHER SENSATIONS","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.9","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSUrnryProbScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - urinary problem score","Common Data Element","1.0","Score for the participant's/subject's degree of urinary problems (e.g. urgent need to urinate, a need to urinate too often, or urine accidents), as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's degree of urinary problems (e.g. urgent need to urinate, a need to urinate too often, or urine accidents), as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No urine control problems;Slight: I need to urinate often or urgently. However, these problems do not cause difficulties with my daily activities;Mild: Urine problems cause some difficulties with my daily activities. However, I do not have urine accidents;Moderate: Urine problems cause a lot of difficulties with my daily activities, including urine accidents;Severe: I cannot control my urine and use a protective garment or have a bladder tube.","0;1;2;3;4","","PD:
Refer to instrument for additional instructions","MDS UPDRS Q1.10","URINARY PROBLEMS","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.10","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
"MDSUPDRSConstipProbScore","Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - constipation problem score","Common Data Element","1.0","Score for the participant's/subject's level of constipation, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Score for the participant's/subject's level of constipation, as a part of Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS)","Numeric Values","","Single Pre-Defined Value Selected","","","0;1;2;3;4","Normal: No constipation;Slight: I have been constipated. I use extra effort to move my bowels. However, this problem does not disturb my activities or my being comfortable;Mild: Constipation causes me to have some troubles doing things or being comfortable;Moderate: Constipation causes me to have a lot of trouble doing things or being comfortable. However, it does not stop me from doing anything;Severe: I usually need physical help from someone else to empty my bowels.","0;1;2;3;4","","PD:
Refer to instrument for additional instructions","MDS UPDRS Q1.11","CONSTIPATION PROBLEMS","","PD:
URL: http://www.movementdisorders.org/UserFiles/New%20UPDRS%207%203%2008%20final.pdf","Adult","","","Outcomes and End Points.Motor Function","","","","","","","","","","","","","","","","","","","Core","","","","","","","","","","","","","","MDS UPDRS Q1.11","",,,,,"","",,,,"2014-04-01","2014-04-01","Published"
